Rank,Release Group,Worldwide,Domestic,%,Foreign,%
35,Unhinged,"$43,249,465","$20,831,465",48.2%,"$22,418,000",51.8%
36,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
37,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
38,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
39,The War with Grandpa,"$37,236,039","$20,773,291",55.8%,"$16,462,748",44.2%
40,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
41,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
42,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
43,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
44,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
45,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
46,Doraemon the Movie: Nobita's New Dinosaur,"$33,479,893",-,-,"$33,479,893",100%
47,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
48,Honest Thief,"$31,083,014","$14,163,574",45.6%,"$16,919,440",54.4%
49,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
50,Monster Hunter,"$29,281,109","$14,669,096",50.1%,"$14,612,013",49.9%
51,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
52,The Witches,"$26,900,000",-,-,"$26,900,000",100%
53,Emma.,"$25,949,021","$10,055,355",38.8%,"$15,893,666",61.2%
54,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
55,Stand by Me Doraemon 2,"$25,701,465",-,-,"$25,701,465",100%
56,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
57,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
58,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
59,Poupelle of Chimney Town,"$21,471,316",-,-,"$21,471,316",100%
60,Stigmatized Properties,"$21,236,432",-,-,"$21,236,432",100%
61,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
62,Yarn,"$20,444,185",-,-,"$20,444,185",100%
63,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
64,Violet Evergarden: The Movie,"$19,977,954",-,-,"$19,977,954",100%
65,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
66,Soul Snatcher,"$19,548,161",-,-,"$19,548,161",100%
67,The Turning,"$19,427,123","$15,472,775",79.6%,"$3,954,348",20.4%
68,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,083,198","$200,000",1%,"$18,883,198",99%
69,How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%
70,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
71,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
72,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
73,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
74,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%
75,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
76,Pokémon the Movie: Secrets of the Jungle,"$16,052,056",-,-,"$16,052,056",100%
77,I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%
78,Freaky,"$15,230,855","$9,030,855",59.3%,"$6,200,000",40.7%
79,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
80,The Personal History of David Copperfield,"$14,273,985","$1,876,298",13.1%,"$12,397,687",86.9%
81,Pawn,"$14,191,042",-,-,"$14,191,042",100%
82,Nightlife,"$14,045,643",-,-,"$14,045,643",100%
83,#Alive,"$13,432,212",-,-,"$13,432,212",100%
84,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
85,Come Play,"$13,173,947","$10,475,990",79.5%,"$2,697,957",20.5%
86,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
87,Collectors,"$12,640,113",-,-,"$12,640,113",100%
88,No Escapes,"$12,474,820",-,-,"$12,474,820",100%
89,News of the World,"$12,338,035","$12,338,035",100%,-,-
90,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
91,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
92,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
93,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
94,The Hunt,"$11,470,336","$5,812,500",50.7%,"$5,657,836",49.3%
95,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
96,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
97,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
98,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
99,One Second,"$10,600,000",-,-,"$10,600,000",100%
100,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
101,Let Him Go,"$10,436,588","$9,358,025",89.7%,"$1,078,563",10.3%
102,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
103,Promising Young Woman,"$10,227,765","$5,529,765",54.1%,"$4,698,000",45.9%
104,My Spy,"$10,200,000",-,-,"$10,200,000",100%
105,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
106,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
107,10 Days with Dad,"$9,470,574",$856,<0.1%,"$9,469,718",100%
108,365 Days,"$9,458,590",-,-,"$9,458,590",100%
109,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
110,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
111,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
112,Bigfoot Family,"$9,289,990",-,-,"$9,289,990",100%
113,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
114,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
115,The Closet,"$8,948,595",-,-,"$8,948,595",100%
116,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
117,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
118,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
119,30 jours max,"$8,825,580",-,-,"$8,825,580",100%
120,The Secret Garden,"$8,710,050",-,-,"$8,710,050",100%
121,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
122,Malasaña 32,"$8,421,833",-,-,"$8,421,833",100%
123,Malang,"$8,399,765",-,-,"$8,399,765",100%
124,Your Eyes Tell,"$8,005,317",-,-,"$8,005,317",100%
125,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
126,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
127,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
128,Spirited Away Studio Ghibli Fest 2020,"$7,733,107",-,-,"$7,733,107",100%
129,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
130,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
131,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
132,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
133,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
134,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
135,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
136,Adu,"$7,085,946",-,-,"$7,085,946",100%
137,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
138,Spycies,"$6,978,537",-,-,"$6,978,537",100%
139,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
140,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
141,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
142,Tiec Trang Mau,"$6,709,383",-,-,"$6,709,383",100%
143,Innocence,"$6,659,968",-,-,"$6,659,968",100%
144,Fatale,"$6,583,034","$6,306,897",95.8%,"$276,137",4.2%
145,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
146,Silver Skates,"$6,573,398",-,-,"$6,573,398",100%
147,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
148,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
149,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
150,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
151,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
152,"Love Me, Love Me Not","$6,379,631",-,-,"$6,379,631",100%
153,Tout simplement noir,"$6,323,750",-,-,"$6,323,750",100%
154,Antoinette dans les Cévennes,"$6,299,870",-,-,"$6,299,870",100%
155,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
156,Bill & Ted Face the Music,"$6,267,091","$3,439,660",54.9%,"$2,827,431",45.1%
157,Dragon Rider,"$6,185,964",-,-,"$6,185,964",100%
158,Hotel Belgrade,"$6,085,537",-,-,"$6,085,537",100%
159,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
160,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
161,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
162,How to Be a Good Wife,"$5,916,083",-,-,"$5,916,083",100%
163,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
164,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
165,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
166,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
167,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
168,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
169,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
170,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
171,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
172,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
173,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
174,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
175,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
176,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
177,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
178,Mayday,"$5,011,408",-,-,"$5,011,408",100%
179,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
180,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
181,Tengaramon,"$4,948,225",-,-,"$4,948,225",100%
182,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
183,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
184,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
185,Mama Weed,"$4,833,028",-,-,"$4,833,028",100%
186,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
187,The Vets,"$4,788,826",-,-,"$4,788,826",100%
188,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
189,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
190,Intruder,"$4,751,103",-,-,"$4,751,103",100%
191,100% Wolf,"$4,678,299","$512,805",11%,"$4,165,494",89%
192,Granny Nanny,"$4,653,879",$432,<0.1%,"$4,653,447",100%
193,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
194,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
195,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
196,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
197,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
198,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
199,The Wretched,"$4,344,913","$1,814,193",41.8%,"$2,530,720",58.2%
200,Delete History,"$4,330,672",-,-,"$4,330,672",100%
201,The Rental,"$4,296,804","$1,637,548",38.1%,"$2,659,256",61.9%
202,Rams,"$4,274,187",-,-,"$4,274,187",100%
203,No Escape,"$4,260,442","$167,962",3.9%,"$4,092,480",96.1%
204,13rd Sister: Three Deadly Days,"$4,257,126",-,-,"$4,257,126",100%
205,The Empty Man,"$4,212,610","$2,992,948",71%,"$1,219,662",29%
206,Superintelligence,"$4,159,503",-,-,"$4,159,503",100%
207,Thappad,"$4,112,382",-,-,"$4,112,382",100%
208,"Yes, I Do","$4,100,000",-,-,"$4,100,000",100%
209,Infidel,"$4,051,990","$4,051,990",100%,-,-
210,25 lat niewinnosci. Sprawa Tomka Komendy,"$4,026,517",-,-,"$4,026,517",100%
211,Asphalt Burning,"$3,989,896",-,-,"$3,989,896",100%
212,Bye Bye Morons,"$3,964,600",-,-,"$3,964,600",100%
213,Grand Blue,"$3,930,159",-,-,"$3,930,159",100%
214,Cats & Dogs 3: Paws Unite,"$3,898,623",-,-,"$3,898,623",100%
215,Dreambuilders,"$3,805,851",-,-,"$3,805,851",100%
216,"Yakari, a Spectacular Journey","$3,798,496",-,-,"$3,798,496",100%
217,Another Round,"$3,792,198",-,-,"$3,792,198",100%
218,André Rieu - 70 Years Young,"$3,714,938",-,-,"$3,714,938",100%
219,Figli,"$3,691,574",-,-,"$3,691,574",100%
220,Marafon zhelaniy,"$3,688,995",-,-,"$3,688,995",100%
221,Lassie Come Home,"$3,683,502",-,-,"$3,683,502",100%
222,Run,"$3,639,619",-,-,"$3,639,619",100%
223,Find Your Voice,"$3,634,579",-,-,"$3,634,579",100%
224,Obratnaya svyaz,"$3,620,042",-,-,"$3,620,042",100%
225,Fate/Grand Order the Sacred Round Table Realm: Camelot,"$3,607,899",-,-,"$3,607,899",100%
226,The Elfkins,"$3,582,825",-,-,"$3,582,825",100%
227,Radioactive,"$3,519,115",-,-,"$3,519,115",100%
228,Le lion,"$3,507,711",-,-,"$3,507,711",100%
229,18 Presents,"$3,486,375",-,-,"$3,486,375",100%
230,Pretty Cure Miracle Leap the Movie,"$3,474,150",-,-,"$3,474,150",100%
231,Summer of 85,"$3,443,565",-,-,"$3,443,565",100%
232,I Wish Someone Were Waiting for Me Somewhere,"$3,403,477",-,-,"$3,403,477",100%
233,Two by Two: Overboard!,"$3,402,105",-,-,"$3,402,105",100%
234,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
235,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
236,Ava,"$3,291,426","$497,747",15.1%,"$2,793,679",84.9%
237,Far Too Personal,"$3,272,428",-,-,"$3,272,428",100%
238,Voice of Silence,"$3,271,053",-,-,"$3,271,053",100%
239,Arab Blues,"$3,211,459",-,-,"$3,211,459",100%
240,Samsam,"$3,195,446","$53,273",1.7%,"$3,142,173",98.3%
241,The Secret: Dare to Dream,"$3,184,114",-,-,"$3,184,114",100%
242,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
243,Petla,"$3,144,572",-,-,"$3,144,572",100%
244,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,136,150","$2,482,000",79.1%,"$654,150",20.9%
245,Words on Bathroom Walls,"$3,073,857","$2,542,518",82.7%,"$531,339",17.3%
246,The Wedding Unplanner,"$3,069,660",-,-,"$3,069,660",100%
247,Oversize Love,"$3,013,782",-,-,"$3,013,782",100%
248,The Enigma of Arrival,"$3,002,045",-,-,"$3,002,045",100%
249,Les traducteurs,"$2,994,237",-,-,"$2,994,237",100%
250,Appearances,"$2,991,236",-,-,"$2,991,236",100%
251,My Cousin,"$2,974,059",-,-,"$2,974,059",100%
252,It's for Your Own Good,"$2,966,418",$256,<0.1%,"$2,966,162",100%
253,Men at Work: Miami,"$2,906,158",-,-,"$2,906,158",100%
254,Caught in the Net,"$2,894,447",-,-,"$2,894,447",100%
255,Scumbag,"$2,876,675",-,-,"$2,876,675",100%
256,Life as It Should Be,"$2,870,736",-,-,"$2,870,736",100%
257,Poly,"$2,849,513",-,-,"$2,849,513",100%
258,Zenek,"$2,832,175",-,-,"$2,832,175",100%
259,Das geheime Leben der Bäume,"$2,737,511",-,-,"$2,737,511",100%
260,Silent Tokyo,"$2,730,104",-,-,"$2,730,104",100%
261,Made in Italy,"$2,712,456","$101,339",3.7%,"$2,611,117",96.3%
262,Miami Bici,"$2,663,916",-,-,"$2,663,916",100%
263,The Memory Eraser,"$2,662,177",-,-,"$2,662,177",100%
264,Doi Mat Am Duong,"$2,642,944",-,-,"$2,642,944",100%
265,Kamen Rider Zero-One: Real×Time,"$2,611,150",-,-,"$2,611,150",100%
266,How to Make Out,"$2,607,444",-,-,"$2,607,444",100%
267,How to Train Your Dragon: The Hidden World 2020 Re-release,"$2,603,587",-,-,"$2,603,587",100%
268,Small Country: An African Childhood,"$2,590,629",-,-,"$2,590,629",100%
269,Gekijôban Shirobako,"$2,588,312",-,-,"$2,588,312",100%
270,Knutsen & Ludvigsen 2 - Det store dyret,"$2,561,134",-,-,"$2,561,134",100%
271,Bayi Toplantisi,"$2,560,632",-,-,"$2,560,632",100%
272,Oh! My Gran,"$2,541,300",-,-,"$2,541,300",100%
273,Sifir Bir,"$2,536,753",-,-,"$2,536,753",100%
274,The Girl with a Bracelet,"$2,535,002",-,-,"$2,535,002",100%
275,Belle fille,"$2,513,010",-,-,"$2,513,010",100%
276,Ròm,"$2,509,318",-,-,"$2,509,318",100%
277,A Friendly Tale,"$2,498,547",-,-,"$2,498,547",100%
278,Queens of the Field,"$2,476,539",-,-,"$2,476,539",100%
279,Escape from Pretoria,"$2,431,995",-,-,"$2,431,995",100%
280,The Nightmare Before Christmas 2020 Re-release,"$2,351,189","$2,286,000",97.2%,"$65,189",2.8%
281,"The Things We Say, the Things We Do","$2,335,674",-,-,"$2,335,674",100%
282,"Blue, Painful and Brittle","$2,305,766",-,-,"$2,305,766",100%
283,"God, You're Such a Prick","$2,295,977",-,-,"$2,295,977",100%
284,Coma,"$2,264,690",-,-,"$2,264,690",100%
285,The King of Staten Island,"$2,249,395",-,-,"$2,249,395",100%
286,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,"$2,242,513",-,-,"$2,242,513",100%
287,Half Brothers,"$2,241,980","$2,241,980",100%,-,-
288,Relic,"$2,241,793","$1,047,083",46.7%,"$1,194,710",53.3%
289,Bad Boy,"$2,237,552",-,-,"$2,237,552",100%
290,The High Note,"$2,213,769",-,-,"$2,213,769",100%
291,Elf 2020 Re-release,"$2,181,963","$2,003,568",91.8%,"$178,395",8.2%
292,The Outpost,"$2,140,701",-,-,"$2,140,701",100%
293,Happiest Season,"$2,110,618",-,-,"$2,110,618",100%
294,Charlatan,"$2,108,497",-,-,"$2,108,497",100%
295,Perfumes,"$2,058,848",-,-,"$2,058,848",100%
296,Looking for Magical DoReMi,"$2,044,264",-,-,"$2,044,264",100%
297,Parents d'élèves,"$2,033,629",-,-,"$2,033,629",100%
298,Chlap na strídacku,"$2,032,855",-,-,"$2,032,855",100%
299,The Magic Kids: Three Unlikely Heroes,"$2,024,412",-,-,"$2,024,412",100%
300,De Grote Slijmfilm,"$2,008,512",-,-,"$2,008,512",100%
301,Jurassic World: Fallen Kingdom 2020 Re-release,"$1,996,736",-,-,"$1,996,736",100%
302,The Day I Died: Unclosed Case,"$1,988,723",-,-,"$1,988,723",100%
303,Papi Sitter,"$1,975,973",-,-,"$1,975,973",100%
304,All My Life,"$1,965,113","$913,935",46.5%,"$1,051,178",53.5%
305,30 Chua Phai Tet,"$1,957,005",-,-,"$1,957,005",100%
306,Hayaller Ülkesi: Gamonya,"$1,943,338",-,-,"$1,943,338",100%
307,The Craft: Legacy,"$1,918,716",-,-,"$1,918,716",100%
308,Jurassic Park 2020 Re-release,"$1,907,782","$1,386,600",72.7%,"$521,182",27.3%
309,Pirates Down the Street,"$1,900,298",-,-,"$1,900,298",100%
310,Play,"$1,899,658",-,-,"$1,899,658",100%
311,The Metropolitan Opera HD Live: The Gershwins' Porgy and Bess,"$1,887,761",-,-,"$1,887,761",100%
312,Beyond the Dream,"$1,869,039",-,-,"$1,869,039",100%
313,Misbehaviour,"$1,845,897",-,-,"$1,845,897",100%
314,Swingersi,"$1,827,589",-,-,"$1,827,589",100%
315,The Fantastic Journey of Margot & Marguerite,"$1,822,472",-,-,"$1,822,472",100%
316,"I Have Loved you for 30 Years, Yayoi","$1,783,960",-,-,"$1,783,960",100%
317,3Grapes,"$1,750,746",-,-,"$1,750,746",100%
318,Wife of a Spy,"$1,745,270",-,-,"$1,745,270",100%
319,The Comeback Trail,"$1,740,079",-,-,"$1,740,079",100%
320,Darbar,"$1,738,535",-,-,"$1,738,535",100%
321,Night Shift,"$1,707,184",$534,<0.1%,"$1,706,650",100%
322,Josée,"$1,697,922",-,-,"$1,697,922",100%
323,Paw Patrol: Jet to the Rescue,"$1,695,576",-,-,"$1,695,576",100%
324,"Kiss Him, Not Me","$1,669,719",-,-,"$1,669,719",100%
325,How I Became Russian,"$1,668,824",-,-,"$1,668,824",100%
326,Fatman,"$1,646,155","$278,378",16.9%,"$1,367,777",83.1%
327,Casanova's,"$1,616,489",-,-,"$1,616,489",100%
328,L'esprit de famille,"$1,602,914",-,-,"$1,602,914",100%
329,Little Vampire,"$1,597,517",-,-,"$1,597,517",100%
330,Kalashnikov,"$1,593,464",-,-,"$1,593,464",100%
331,Come Away,"$1,581,566","$184,477",11.7%,"$1,397,089",88.3%
332,Wasp Network,"$1,566,104",-,-,"$1,566,104",100%
333,#Iamhere,"$1,563,896",-,-,"$1,563,896",100%
334,Terrible Jungle,"$1,560,874",-,-,"$1,560,874",100%
335,Realnye patsany protiv zombi,"$1,554,305",-,-,"$1,554,305",100%
336,The Crossing,"$1,540,601",-,-,"$1,540,601",100%
337,Knerten og sjøormen,"$1,496,735",-,-,"$1,496,735",100%
338,The Swordsman,"$1,495,125",-,-,"$1,495,125",100%
339,Veinteañera: Divorciada y Fantástica,"$1,486,553",-,-,"$1,486,553",100%
340,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
341,Extinction,"$1,451,864",-,-,"$1,451,864",100%
342,The Cornered Mouse Dreams of Cheese,"$1,441,478",-,-,"$1,441,478",100%
343,Türkler Geliyor: Adaletin Kilici,"$1,412,062",-,-,"$1,412,062",100%
344,Cosmoball,"$1,409,892",-,-,"$1,409,892",100%
345,New Order,"$1,406,926",-,-,"$1,406,926",100%
346,Nang 3: Loi Hua Cua Cha,"$1,398,976",-,-,"$1,398,976",100%
347,Superagente Makey,"$1,395,217",-,-,"$1,395,217",100%
348,Wednesday Disappears,"$1,390,871",-,-,"$1,390,871",100%
349,Palm Springs,"$1,390,056","$164,000",11.8%,"$1,226,056",88.2%
350,Saint Maud,"$1,383,868",-,-,"$1,383,868",100%
351,Josep,"$1,373,465",-,-,"$1,373,465",100%
352,Max und die wilde 7,"$1,369,679",-,-,"$1,369,679",100%
353,Mutiny of the Worker Bees,"$1,368,432",-,-,"$1,368,432",100%
354,The Goonies 2020 Re-release,"$1,367,152","$825,000",60.3%,"$542,152",39.7%
355,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
356,Karakomik Filmler: Emanet,"$1,360,837",-,-,"$1,360,837",100%
357,"Turu, the Wacky Hen","$1,360,825",-,-,"$1,360,825",100%
358,2 Hearts,"$1,349,286","$1,349,286",100%,-,-
359,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
360,The Dark Knight 2020 Re-release,"$1,330,612",-,-,"$1,330,612",100%
361,The Tax Collector,"$1,325,781","$1,044,212",78.8%,"$281,569",21.2%
362,The Hater,"$1,325,591",-,-,"$1,325,591",100%
363,Temporary Difficulties,"$1,312,189",-,-,"$1,312,189",100%
364,Pee Nak 2,"$1,302,777",-,-,"$1,302,777",100%
365,Angrezi Medium,"$1,301,330",-,-,"$1,301,330",100%
366,Savage,"$1,289,813",-,-,"$1,289,813",100%
367,Kajillionaire,"$1,277,551","$531,430",41.6%,"$746,121",58.4%
368,The Perfect Candidate,"$1,270,023",-,-,"$1,270,023",100%
369,Avatar 2020 Re-release,"$1,263,659",-,-,"$1,263,659",100%
370,Beauty Water,"$1,261,400",-,-,"$1,261,400",100%
371,Baba Yaga: Terror of the Dark Forest,"$1,230,184",-,-,"$1,230,184",100%
372,Mishima: The Last Debate,"$1,229,264",-,-,"$1,229,264",100%
373,Boutchou,"$1,227,428",-,-,"$1,227,428",100%
374,Jaanu,"$1,221,813",-,-,"$1,221,813",100%
375,Golkeri,"$1,219,801",-,-,"$1,219,801",100%
